COUNTRY,gold_reserves_2023
Germany,222475.228
Italy,162699.1098
France,161712.5417
Russian Federation,155857.7
"China, People's Republic of",148226.0
Switzerland,68978.35536
Japan,56095.0
"Türkiye, Republic of",48164.0
India,47955.56
"Netherlands, The",40641.23827
